목적지	국가	지역
자무쓰(JMU)	중국	중국
황산(TXN)	중국	중국
구이린(계림)(KWL)	중국	중국
화롄(HUN)	대만	동북아
선양(심양)(SHE)	중국	중국
푸저우(FOC)	중국	중국
우시(WUX)	중국	중국
창저우(CZX)	중국	중국
다롄(대련)(DLC)	중국	중국
쉬저우(XUZ)	중국	중국
닝보(NGB)	중국	중국
다싱국제공항(PKX)	중국	중국
베이징/다싱(PKX)	중국	중국
장가계(DYG)	중국	중국
텐푸국제공항(TFU)	중국	중국
텐푸(TFU)	중국	중국
양저우(YTY)	중국	중국
장사(CSX)	중국	중국
목단강(MDG)	중국	중국
베이징/다싱국제공항(PKX)	중국	중국
구이린(KWL)	중국	중국
베이징/서우두(PEK)	중국	중국
위린공항(UYN)	중국	중국
오르도스(DSN)	중국	중국
이창(YIH)	중국	중국
청두/톈푸(TFU)	중국	중국
후허하오터(HET)	중국	중국
타이위안(TYN)	중국	중국
충하이보아오(BAR)	중국	중국
레오스자나섹(OSR)	체코	유럽
프라하(PRG)	체코	유럽
알마티(ALA)	카자흐스탄	유럽
누르술탄(TSE)	카자흐스탄	유럽
누르술탄나자르바예프국제공항(NQZ)	카자흐스탄	유럽
아스타나(NQZ)	카자흐스탄	유럽
쉼켄트(CIT)	카자흐스탄	유럽
도하(DOH)	카타르	중동
프놈펜(PNH)	캄보디아	동남아
시엠립(REP)	캄보디아	동남아
시하눅빌(KOS)	캄보디아	동남아
씨엠립앙코르국제공항(SAI)	캄보디아	동남아
토론토(YYZ)	캐나다	미주
밴쿠버(YVR)	캐나다	미주
퀘백장르사주국제공항(YQB)	캐나다	미주
캘거리(YYC)	캐나다	미주
몬트리올(YUL)	캐나다	미주
자그레브(ZAG)	크로아티아	유럽
비슈케크(FRU)	키르기즈스탄	유럽
듀샨베(DYU)	타지키스탄	유럽
방콕/돈므앙(DMK)	태국	동남아
방콕/수완나폼(BKK)	태국	동남아
푸케트(HKT)	태국	동남아
푸켓(HKT)	태국	동남아
치앙마이(CNX)	태국	동남아
방콕/수완나품(BKK)	태국	동남아
이스탄불(IST)	터키	유럽
아쉬가바트(ASB)	투르크메니스탄	유럽
코로르(ROR)	팔라우	대양주
리스본(LIS)	포르투갈	유럽
바르샤바(WAW)	폴란드	유럽
브로츠와프(WRO)	폴란드	유럽
파리/샤를드골(CDG)	프랑스	유럽
마르세유(MRS)	프랑스	유럽
난디(NAN)	피지	대양주
헬싱키(HEL)	핀란드	유럽
마닐라(MNL)	필리핀	동남아
칼리보(KLO)	필리핀	동남아
세부(CEB)	필리핀	동남아
푸에르토프린세사(PPS)	필리핀	동남아
클라크필드(CRK)	필리핀	동남아
보홀팡라오(TAG)	필리핀	동남아
부다페스트(BUD)	헝가리	유럽
시드니(SYD)	호주	대양주
브리즈번(BNE)	호주	대양주
케언스(CNS)	호주	대양주
멜버른(MEL)	호주	대양주
홍콩(HKG)	홍콩	동북아
후어하오터(HET)	중국	중국
고베(UKB)	일본	일본
다퉁(DAT)	중국	중국
비슈케크(BSZ)	키르기즈스탄	유럽
댈러스/포트워스(DFW)	미국	미주
엔시쉬자핑국제공항(ENH)	중국	중국
앙카라(ESB)	터키	유럽
떼쪼국제공항(KTI)	캄보디아	동남아
코펜하겐(CPH)	덴마크	유럽
프놈펜(KTI)	캄보디아	동남아
우이산(WUS)	중국	중국
말라가(AGP)	스페인	유럽
마나도(MDC)	인도네시아	동남아
쓰옌무당산(WDS)	중국	중국
스탠디포드필드(루이스빌)(SDF)	미국	미주
리장(LJG)	중국	중국
주바국제공항(JUB)	남수단	기타
두바이/알막툼(DWC)	아랍에미리트	중동
